  0.04	68	68	U	0	unclassified
 99.96	191932	0	R	1	root
 99.34	190737	0	D	10239	  Viruses
 99.34	190737	0	D1	439488	    ssRNA viruses
 99.34	190737	0	D2	35278	      ssRNA positive-strand viruses, no DNA stage
 99.34	190737	0	F	11050	        Flaviviridae
 99.34	190737	0	G	11102	          Hepacivirus
 99.34	190737	190735	S	11103	            Hepacivirus C
  0.00	1	1	S1	33745	              Hepatitis C virus genotype 4
  0.00	1	0	S1	41856	              Hepatitis C virus genotype 1
  0.00	1	0	S2	31646	                Hepatitis C virus subtype 1a
  0.00	1	1	S3	63746	                  Hepatitis C virus (isolate H77)
  0.62	1195	0	R1	131567	  cellular organisms
  0.62	1195	0	D	2759	    Eukaryota
  0.62	1195	0	D1	33154	      Opisthokonta
  0.62	1195	0	K	33208	        Metazoa
  0.62	1195	0	K1	6072	          Eumetazoa
  0.62	1195	0	K2	33213	            Bilateria
  0.62	1195	0	K3	33511	              Deuterostomia
  0.62	1195	0	P	7711	                Chordata
  0.62	1195	0	P1	89593	                  Craniata
  0.62	1195	0	P2	7742	                    Vertebrata
  0.62	1195	0	P3	7776	                      Gnathostomata
  0.62	1195	0	P4	117570	                        Teleostomi
  0.62	1195	0	P5	117571	                          Euteleostomi
  0.62	1195	0	P6	8287	                            Sarcopterygii
  0.62	1195	0	P7	1338369	                              Dipnotetrapodomorpha
  0.62	1195	0	P8	32523	                                Tetrapoda
  0.62	1195	0	P9	32524	                                  Amniota
  0.62	1195	0	C	40674	                                    Mammalia
  0.62	1195	0	C1	32525	                                      Theria
  0.62	1195	0	C2	9347	                                        Eutheria
  0.62	1195	0	C3	1437010	                                          Boreoeutheria
  0.62	1195	0	C4	314146	                                            Euarchontoglires
  0.62	1195	0	O	9443	                                              Primates
  0.62	1195	0	O1	376913	                                                Haplorrhini
  0.62	1195	0	O2	314293	                                                  Simiiformes
  0.62	1195	0	O3	9526	                                                    Catarrhini
  0.62	1195	0	O4	314295	                                                      Hominoidea
  0.62	1195	0	F	9604	                                                        Hominidae
  0.62	1195	0	F1	207598	                                                          Homininae
  0.62	1195	0	G	9605	                                                            Homo
  0.62	1195	1195	S	9606	                                                              Homo sapiens
